Category, 0-0.15, 0.15-0.75, 0.75-1.00, Total
Loaded_Language , 51 , 23 , 251 , 325
Name_Calling , 35 , 18 , 130 , 183
Labeling , 35 , 18 , 130 , 183
Repetition , 56 , 3 , 86 , 145
Flag-Waving , 18 , 19 , 50 , 87
Exaggeration , 28 , 12 , 28 , 68
Minimisation , 28 , 12 , 28 , 68
Doubt , 42 , 18 , 6 , 66
Appeal_to_fear-prejudice , 9 , 17 , 18 , 44
Slogans , 10 , 4 , 26 , 40
Whataboutism , 17 , 8 , 4 , 29
Straw_Men , 17 , 8 , 4 , 29
Red_Herring , 17 , 8 , 4 , 29
Black-and-White_Fallacy , 14 , 8 , 0 , 22
Causal_Oversimplification , 13 , 4 , 1 , 18
Thought-terminating_Cliches , 9 , 3 , 5 , 17
Appeal_to_Authority , 7 , 1 , 6 , 14
Bandwagon , 4 , 1 , 0 , 5
Reductio_ad_hitlerum , 4 , 1 , 0 , 5
Total , 414 , 186 , 777 , 1377
